arrival_date,state,variety,district,modal_price
Oct,Madhya Pradesh,Yellow,Bhopal,3383.33333333333
Oct,Madhya Pradesh,Yellow,Betul,3487.66666666667
Oct,Madhya Pradesh,Yellow,Badwani,3501.4
Oct,Madhya Pradesh,Yellow,Mandsaur,3350
Oct,Maharashtra,Other,Jalgaon,3343.75
Oct,Madhya Pradesh,Yellow,Morena,3187
Oct,Madhya Pradesh,Yellow,Neemuch,3587.4
Oct,Maharashtra,Other,Buldhana,3467.85714285714
Oct,Maharashtra,Other,Beed,3551.625
Oct,Maharashtra,Other,Aurangabad,3512.5
Oct,Maharashtra,Other,Amarawati,3407.42857142857
Oct,Maharashtra,Other,Akola,3230
Oct,Maharashtra,Other,Ahmednagar,3482.6
Oct,Madhya Pradesh,Yellow,Vidisha,3417.875
Oct,Madhya Pradesh,Yellow,Narsinghpur,3277.33333333333
Oct,Madhya Pradesh,Yellow,Ujjain,3552.40740740741
Oct,Madhya Pradesh,Yellow,Shivpuri,3441.83333333333
Oct,Madhya Pradesh,Yellow,Shajapur,3444.68421052632
Oct,Madhya Pradesh,Yellow,Sehore,3498.73684210526
Oct,Madhya Pradesh,Yellow,Sagar,3420
Oct,Madhya Pradesh,Yellow,Ratlam,3553.08333333333
Oct,Madhya Pradesh,Yellow,Rajgarh,3464.36
Oct,Madhya Pradesh,Yellow,Raisen,3254.2
Oct,Madhya Pradesh,Yellow,Tikamgarh,3406.33333333333
Oct,Rajasthan,Other,Udaipur,3550
Nov,Uttar Pradesh,Yellow,Lalitpur,3534
Nov,Rajasthan,Yellow,Chittorgarh,3532.4
Nov,Rajasthan,Other,Swai Madhopur,3591.66666666667
Nov,Madhya Pradesh,Other,Shehdol,3147
Nov,Madhya Pradesh,Other,Shajapur,3517.12903225806
Nov,Madhya Pradesh,Other,Sehore,3660
Nov,Madhya Pradesh,Other,Satna,3041.2
Nov,Madhya Pradesh,Other,Sagar,3212.5
Nov,Madhya Pradesh,Other,Rewa,3161
Nov,Madhya Pradesh,Other,Ratlam,3621.75
Nov,Madhya Pradesh,Other,Rajgarh,3464.57142857143
Nov,Madhya Pradesh,Other,Raisen,3320.25
Nov,Madhya Pradesh,Other,Neemuch,4001
Nov,Madhya Pradesh,Other,Narsinghpur,3255.33333333333
Nov,Madhya Pradesh,Other,Mandsaur,3518.58333333333
Nov,Madhya Pradesh,Other,Khargone,3481.9375
Nov,Madhya Pradesh,Other,Khandwa,3475
Nov,Madhya Pradesh,Other,Indore,3482.30769230769
Nov,Madhya Pradesh,Other,Sheopur,3325.5
Nov,Madhya Pradesh,Other,Hoshangabad,3140.5
Nov,Madhya Pradesh,Other,Shivpuri,3475.05882352941
Nov,Madhya Pradesh,Other,Vidisha,3345.66666666667
Nov,Madhya Pradesh,Soyabeen,Sheopur,3398
Nov,Madhya Pradesh,Soyabeen,Sehore,3519
Nov,Madhya Pradesh,Soyabeen,Sagar,3334.5
Nov,Madhya Pradesh,Soyabeen,Ratlam,3589.5
Nov,Madhya Pradesh,Soyabeen,Rajgarh,3416.66666666667
Nov,Madhya Pradesh,Soyabeen,Panna,3470
Nov,Madhya Pradesh,Soyabeen,Mandsaur,3583
Nov,Madhya Pradesh,Soyabeen,Khargone,3325
Nov,Madhya Pradesh,Soyabeen,Harda,3409.63636363636
Nov,Madhya Pradesh,Soyabeen,Guna,3442.5
Nov,Madhya Pradesh,Soyabeen,Dewas,3465.38461538461
Nov,Madhya Pradesh,Soyabeen,Chhatarpur,3415.5
Nov,Madhya Pradesh,Soyabeen,Bhopal,3411.66666666667
Nov,Madhya Pradesh,Soyabeen,Badwani,3000
Nov,Madhya Pradesh,Soyabeen,Ashoknagar,3200
Nov,Madhya Pradesh,Other,Tikamgarh,3414
Nov,Madhya Pradesh,Soyabeen,Shivpuri,3362.5
Nov,Madhya Pradesh,Other,Guna,3462.24
Nov,Madhya Pradesh,Other,Chhindwara,3362.66666666667
Nov,Gujarat,Soyabeen,Junagarh,3464.28571428571
Nov,Gujarat,Soyabeen,Jamnagar,3625
Nov,Gujarat,Soyabeen,Dahod,3684.28571428571
Nov,Gujarat,Other,Surat,3000
Nov,Gujarat,Other,Sabarkantha,3445
Nov,Gujarat,Other,Rajkot,3000
Nov,Gujarat,Other,Dahod,3200
Nov,Chattisgarh,Yellow,Rajnandgaon,3633.375
Nov,Chattisgarh,Yellow,Mungeli,3357.16666666667
Nov,Chattisgarh,Yellow,Kabirdham,3302.83333333333
Nov,Chattisgarh,Yellow,Durg,3362.5
Nov,Chattisgarh,Soyabeen,Rajnandgaon,3399
Nov,Chattisgarh,Other,Balodabazar,3132
Nov,Chattisgarh,Local,Rajnandgaon,3359.6
Nov,Uttar Pradesh,Soyabeen,Kanpur,4710.71428571429
Nov,Gujarat,Yellow,Rajkot,3455
Nov,Madhya Pradesh,Other,Dewas,3467
Nov,Gujarat,Yellow,Sabarkantha,3258.33333333333
Nov,Karnataka,Soyabeen,Bangalore,4475
Nov,Madhya Pradesh,Other,Chhatarpur,3462.14285714286
Nov,Madhya Pradesh,Other,Badwani,3375
Nov,Madhya Pradesh,Other,Ashoknagar,3467.75
Nov,Madhya Pradesh,Other,Alirajpur,3349.2
Nov,Madhya Pradesh,Local,Mandsaur,3600
Nov,Madhya Pradesh,Local,Dindori,3375
Nov,Madhya Pradesh,Black,Tikamgarh,3392.5
Nov,Madhya Pradesh,Black,Rajgarh,3555
Nov,Madhya Pradesh,Black,Raisen,3350
Nov,Madhya Pradesh,Black,Datia,3390
Nov,Karnataka,Soyabeen,Haveri,3593
Nov,Karnataka,Soyabeen,Gulbarga,3226.4
Nov,Karnataka,Soyabeen,Dharwad,3489.64285714286
Nov,Karnataka,Soyabeen,Bidar,3580.125
Nov,Karnataka,Soyabeen,Belgaum,3700
Nov,Karnataka,Local,Belgaum,3570
Nov,Madhya Pradesh,Soyabeen,Ujjain,351.8
Nov,Madhya Pradesh,Other,Dhar,3538.2
Nov,Madhya Pradesh,Yellow,Badwani,3581.16666666667
Nov,Maharashtra,Yellow,Chandrapur,3419.375
Nov,Maharashtra,Yellow,Buldhana,3467.78048780488
Nov,Maharashtra,Yellow,Beed,3498.58823529412
Nov,Maharashtra,Yellow,Amarawati,3373.64705882353
