Date,Modal Price (Rs./Quintal)
26 Apr 2018,1120
25 Apr 2018,1147
24 Apr 2018,1120
23 Apr 2018,1150
19 Apr 2018,1095
17 Apr 2018,1115
12 Apr 2018,1070
11 Apr 2018,1110
10 Apr 2018,1160
09 Apr 2018,1160
06 Apr 2018,1115
05 Apr 2018,1040
04 Apr 2018,1090
03 Apr 2018,1165
02 Apr 2018,1040
28 Mar 2018,1085
27 Mar 2018,1115
26 Mar 2018,1205
22 Mar 2018,1105
21 Mar 2018,1131
20 Mar 2018,1090
16 Mar 2018,1185
15 Mar 2018,1100
14 Mar 2018,1050
08 Mar 2018,1161
07 Mar 2018,1115
05 Mar 2018,970
03 Mar 2018,1111
01 Mar 2018,990
28 Feb 2018,1171
27 Feb 2018,1121
23 Feb 2018,1125
22 Feb 2018,1171
20 Feb 2018,1150
19 Feb 2018,1175
17 Feb 2018,1135
14 Feb 2018,1075
12 Feb 2018,1050
09 Feb 2018,1105
06 Feb 2018,1112
05 Feb 2018,1170
03 Feb 2018,1095
02 Feb 2018,1030
01 Feb 2018,1065
30 Jan 2018,1225
29 Jan 2018,1031
25 Jan 2018,1120
20 Jan 2018,1080
19 Jan 2018,1070
18 Jan 2018,1015
12 Jan 2018,1030
11 Jan 2018,985
09 Jan 2018,1074
04 Jan 2018,1031
03 Jan 2018,1070
02 Jan 2018,1115
29 Dec 2017,1110
28 Dec 2017,1110
27 Dec 2017,1070
26 Dec 2017,1151
22 Dec 2017,1075
21 Dec 2017,1075
20 Dec 2017,1150
19 Dec 2017,1095
16 Dec 2017,1144
15 Dec 2017,1015
14 Dec 2017,1080
13 Dec 2017,1095
12 Dec 2017,1055
11 Dec 2017,1075
08 Dec 2017,1105
07 Dec 2017,1045
06 Dec 2017,1098
05 Dec 2017,1095
04 Dec 2017,1145
01 Dec 2017,1090
30 Nov 2017,1120
29 Nov 2017,1075
28 Nov 2017,1105
27 Nov 2017,1015
24 Nov 2017,1110
23 Nov 2017,1050
22 Nov 2017,1045
21 Nov 2017,1055
20 Nov 2017,1010
06 Nov 2017,1115
02 Nov 2017,1080
01 Nov 2017,1095
31 Oct 2017,1120
30 Oct 2017,1015
28 Oct 2017,2600
27 Oct 2017,1080
25 Oct 2017,1125
24 Oct 2017,1025
23 Oct 2017,1110
17 Oct 2017,989
16 Oct 2017,1010
14 Oct 2017,1046
12 Oct 2017,1010
11 Oct 2017,1065
10 Oct 2017,915
09 Oct 2017,1030
03 Oct 2017,1200
22 Sep 2017,1163
20 Sep 2017,1291
18 Sep 2017,802
