,Date,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
13250,7 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2000.0,2965.0,2870.0
13275,7 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2651.0,2909.0,2780.0
13295,7 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2776.0,2842.0,2801.0
13485,8 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2625.0,2850.0,2700.0
13511,8 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2700.0,2864.0,2780.0
13527,8 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2651.0,2769.0,2722.0
13722,9 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2723.0,2950.0,2800.0
13727,9 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,2920.0,2800.0
13762,9 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2659.0,2760.0,2725.0
13945,10 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2820.0,2820.0,2820.0
13951,10 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2505.0,2930.0,2885.0
13972,10 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2600.0,2988.0,2795.0
13992,10 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2676.0,2811.0,2770.0
14153,11 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,2935.0,2935.0
14162,11 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2685.0,2860.0,2775.0
14248,12 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,3000.0,3000.0,3000.0
14306,14 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2750.0,3011.0,2900.0
14310,14 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2000.0,2930.0,2885.0
14325,14 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2491.0,2856.0,2675.0
14479,15 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2680.0,2800.0,2780.0
14485,15 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1475.0,2925.0,2800.0
14506,15 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2721.0,2950.0,2805.0
14523,15 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2622.0,2777.0,2750.0
14676,16 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2800.0,3000.0,2825.0
14684,16 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1450.0,2930.0,2920.0
14705,16 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2730.0,2914.0,2825.0
14724,16 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2645.0,2781.0,2745.0
15037,18 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1900.0,2950.0,2880.0
15057,18 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2711.0,2947.0,2825.0
15075,18 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2751.0,2820.0,2800.0
15275,20 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2800.0,2800.0,2800.0
15282,20 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1805.0,2970.0,2865.0
15302,20 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2698.0,2980.0,2840.0
15319,20 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2650.0,2836.0,2800.0
15503,21 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2525.0,2800.0,2700.0
15510,21 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1500.0,2985.0,2900.0
